date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:27	608/608	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202022%2017:40:16%20GMT	https://slimhamdi.net/tunis/dark/img/styleswitcher/purple.png	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/styleswitcher/purple.png	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:27	1539/1539	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202022%2017:40:16%20GMT	https://slimhamdi.net/tunis/dark/img/styleswitcher/red.png	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/styleswitcher/red.png	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:28	610/610	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202022%2017:40:15%20GMT	https://slimhamdi.net/tunis/dark/img/styleswitcher/blueviolet.png	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/styleswitcher/blueviolet.png	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:28	610/610	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202022%2017:40:15%20GMT	https://slimhamdi.net/tunis/dark/img/styleswitcher/blue.png	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/styleswitcher/blue.png	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:28	607/607	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202022%2017:40:16%20GMT	https://slimhamdi.net/tunis/dark/img/styleswitcher/goldenrod.png	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/styleswitcher/goldenrod.png	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:29	1539/1539	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202022%2017:40:16%20GMT	https://slimhamdi.net/tunis/dark/img/styleswitcher/magenta.png	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/styleswitcher/magenta.png	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:29	607/607	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202022%2017:40:15%20GMT	https://slimhamdi.net/tunis/dark/img/styleswitcher/yellowgreen.png	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/styleswitcher/yellowgreen.png	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:30	610/610	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202022%2017:40:16%20GMT	https://slimhamdi.net/tunis/dark/img/styleswitcher/orange.png	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/styleswitcher/orange.png	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:30	608/608	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202022%2017:40:16%20GMT	https://slimhamdi.net/tunis/dark/img/styleswitcher/green.png	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/styleswitcher/green.png	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:30	600/600	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202022%2017:40:15%20GMT	https://slimhamdi.net/tunis/dark/img/styleswitcher/yellow.png	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/styleswitcher/yellow.png	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:31	20641/20641	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jul%202023%2003:03:30%20GMT	https://slimhamdi.net/tunis/dark/about.html	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/about.html	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:31	29990/29990	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jul%202023%2003:03:31%20GMT	https://slimhamdi.net/tunis/dark/portfolio.html	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/portfolio.html	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:31	11102/11102	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jul%202023%2003:03:31%20GMT	https://slimhamdi.net/tunis/dark/contact.html	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/contact.html	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:32	15074/15074	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jul%202023%2003:03:32%20GMT	https://slimhamdi.net/tunis/dark/blog.html	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/blog.html	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:32	17052/17052	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jul%202022%2016:34:04%20GMT	https://slimhamdi.net/tunis/dark/img/img-mobile.jpg	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/img-mobile.jpg	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:33	5806/5806	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2016:33:58%20GMT	https://slimhamdi.net/tunis/dark/js/styleswitcher.js	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/js/styleswitcher.js	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:33	297/297	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2016:33:58%20GMT	https://slimhamdi.net/tunis/dark/js/preloader.min.js	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/js/preloader.min.js	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:34	2419/2419	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2016:34:01%20GMT	https://slimhamdi.net/tunis/dark/js/fm.revealator.jquery.min.js	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/js/fm.revealator.jquery.min.js	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:34	6893/6893	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2016:34:01%20GMT	https://slimhamdi.net/tunis/dark/js/imagesloaded.pkgd.min.js	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/js/imagesloaded.pkgd.min.js	(from https://slimhamdi.net/tunis/dark/index.html)
10:03:34	25081/25081	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2016:33:59%20GMT	https://slimhamdi.net/tunis/dark/js/masonry.pkgd.min.js	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/js/masonry.pkgd.min.js	(from https://slimhamdi.net/tunis/dark/index.html)
